feature,importance
pm25,0.6591074300748554
pm10,0.23604596795520913
pm25_delta_1h,0.023397987329115664
shortwave_radiation,0.009501547025662374
hour_sin,0.008190978647708083
hour_cos,0.0067419123448783655
direct_radiation,0.006445107568678507
hour,0.004834050446238047
ozone,0.0032105356547468137
temperature_2m,0.0031190457632958605
co,0.0030881952939713206
pm25_rolling_mean_24h,0.0025265122140301108
no2,0.0022770417174017904
pm25_lag_12h,0.001651214428359695
dew_point_2m,0.001596541015241908
